,healthy,"few varrao, hive beetles","Varroa, Small Hive Beetles",ant problems,hive being robbed,missing queen
ensemble_prediction,0.9970457902511078,0.6379310344827587,0.6631578947368421,0.9340659340659341,0.78,0.8333333333333334
model1_prediction,0.9867060561299852,0.6379310344827587,0.5789473684210527,0.8791208791208791,0.68,0.3333333333333333
model2_prediction,0.9911373707533235,0.3879310344827586,0.9368421052631579,0.9340659340659341,0.76,1.0
